algorithm,n_clusters,n_noise,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,stability_ari,composite_score
dbscan,12.0,223.0,0.1325014854426619,0.8805001189443333,0.17164624857589525,140988.23709571923,1.0,4.0
hdbscan,9.0,32.0,0.019013666072489603,0.7290595928260607,0.42483025211941805,6030.968446081068,1.0,3.706195410913467
agglomerative,6.0,0.0,0.0,0.23686434968055356,3.297825655493597,751.3072726197386,1.0,3.01749704753497
kmeans,6.0,0.0,0.0,-0.004785370505756954,2.477448941376928,455.40191135368156,0.6652167576257583,2.0954588522324893
gmm,6.0,0.0,0.0,-0.01805440084858374,2.5884473559380736,409.62698552151954,0.654137865162154,2.046951778817533
minibatch_kmeans,6.0,0.0,0.0,0.018267734033623508,11.809043452220857,666.3526666065574,0.5359877305210398,1.0422490576262116
