iter	RMSE
0	43.58105566
1	41.85191606
2	40.15694046
3	38.51684441
4	37.02225615
5	35.57025341
6	34.19829862
7	32.87833578
8	31.56761392
9	30.36593629
10	29.26299155
11	28.11376741
12	27.01754328
13	25.93150533
14	24.95495812
15	23.99433905
16	23.0940163
17	22.16618361
18	21.3286221
19	20.51624946
20	19.74815393
21	18.99355919
22	18.2762518
23	17.56200919
24	16.92799798
25	16.27914227
26	15.67369871
27	15.09906466
28	14.52822895
29	13.98264739
30	13.45829352
31	12.9662564
32	12.47921214
33	12.00901894
34	11.57923757
35	11.16162104
36	10.76208524
37	10.3675299
38	10.01828665
39	9.659558321
40	9.316696365
41	8.999841894
42	8.684642529
43	8.415468427
44	8.131331655
45	7.854903222
46	7.582555794
47	7.319039033
48	7.078342662
49	6.851840601
50	6.619935837
51	6.40106783
52	6.205774417
53	6.011760015
54	5.820472691
55	5.638294161
56	5.460305221
57	5.295766883
58	5.13734762
59	4.989002921
60	4.853131104
61	4.713189766
62	4.574813446
63	4.456576384
64	4.347313412
65	4.232845911
66	4.125483388
67	4.019288513
68	3.920500651
69	3.827638408
70	3.73298396
71	3.647091446
72	3.57250187
73	3.496949279
74	3.420798681
75	3.346908918
76	3.275615043
77	3.210841763
78	3.153337369
79	3.092474509
80	3.037659206
81	2.98471293
82	2.935233577
83	2.886594239
84	2.840319038
85	2.798565376
86	2.758704165
87	2.719613853
88	2.679182154
89	2.641572407
90	2.609118009
91	2.57668838
92	2.549277256
93	2.518777414
94	2.491164411
95	2.468588079
96	2.443515409
97	2.420456884
98	2.397933377
99	2.377135298
100	2.355690015
101	2.334406439
102	2.313528428
103	2.295565835
104	2.278626877
105	2.260954865
106	2.24426996
107	2.228379509
108	2.213506549
109	2.199828812
110	2.1855116
111	2.171765354
112	2.15875115
113	2.147537401
114	2.136640131
115	2.12566946
116	2.115767507
117	2.106441807
118	2.096818235
119	2.087436777
120	2.07885172
121	2.072126236
122	2.063503362
123	2.054593289
124	2.045976784
125	2.038348728
126	2.031829069
127	2.025279212
128	2.017498684
129	2.008686099
130	2.0007558
131	1.994734621
132	1.988083201
133	1.981489298
134	1.975803468
135	1.968670953
136	1.961697504
137	1.956714507
138	1.951474731
139	1.946187028
140	1.939720399
141	1.934716408
142	1.92767373
143	1.922140969
144	1.91477936
145	1.910088981
146	1.904422572
147	1.898211072
148	1.893678944
149	1.887975884
150	1.882805897
151	1.876285563
152	1.872041807
153	1.866807357
154	1.86205591
155	1.857211191
156	1.852549642
157	1.847367417
158	1.843088599
159	1.83870134
160	1.834857098
161	1.831583974
162	1.826309578
163	1.822166891
164	1.818416238
165	1.813532399
166	1.81047782
167	1.806836333
168	1.803074287
169	1.798497137
170	1.794227214
171	1.79001084
172	1.78604874
173	1.782766241
174	1.779383477
175	1.776160078
176	1.772037906
177	1.76836514
178	1.765431564
179	1.761390594
180	1.757535825
181	1.752821151
182	1.749807886
183	1.745595318
184	1.743413538
185	1.740176815
186	1.736570845
187	1.733246363
188	1.727911885
189	1.724649831
190	1.719962398
191	1.716720685
192	1.713553669
193	1.709160548
194	1.705821053
195	1.701936092
196	1.698580978
197	1.6959247
198	1.69304335
199	1.690565402
200	1.687782611
201	1.683843912
202	1.682135962
203	1.681636178
204	1.679144099
205	1.676653603
206	1.674771062
207	1.67209621
208	1.668697243
209	1.666303664
210	1.662593222
211	1.659508262
212	1.657296565
