model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
LogisticRegression,0.45,0.37834972045498355,0.507564676981485,0.42173815892997646,0.4098746010031919,0.45,0.1463010311126709
SVC,0.44,0.36019536019536025,,0.3918255728011826,0.35483476132190944,0.44,0.05317401885986328
KNeighborsClassifier,0.42,0.34371184371184366,0.4904231832171346,0.37809014514896866,0.3494736842105263,0.42,0.5604302883148193
XGBClassifier,0.39,0.330730672835936,0.4745827662974827,0.36829416848848445,0.3580170477071495,0.39,0.5997269153594971
AdaBoostClassifier,0.39,0.3301201722254354,0.4921811164848663,0.3631372368783895,0.3806950354609929,0.39,0.11514925956726074
ExtraTreesClassifier,0.4,0.32967032967032966,0.4703893529859235,0.3619475655430711,0.331,0.4,0.12186384201049805
CatBoostClassifier,0.39,0.31990231990231993,0.421902902525665,0.35641952983725134,0.33075000000000004,0.39,6.366251707077026
RandomForestClassifier,0.35,0.2875457875457876,0.43680237143116357,0.3166107634543179,0.2891137123745819,0.35,0.1693282127380371
